Year,Total withdrawals,Public Supply,Self Supply Domestic,Livestock,Irrigation,Thermo-electric power,Self-supplied industrial,Mining,Commercial,Aquaculture
1950 \1,180,14,2.1,1.5,89,40,37,(\5),(\5),(\5)
1955 \2,240,17,2.1,1.5,110,72,39,(\5),(\5),(\5)
1960 \3,270,21,2,1.6,110,100,38,(\5),(\5),(\5)
1965 \4,310,24,2.3,1.7,120,130,46,(\5),(\5),(\5)
1970 \4,370,27,2.6,1.9,130,170,47,(\5),(\5),(\5)
1975 \3,420,29,2.8,2.1,140,200,45,(\5),(\5),(\5)
1980 \3,430,33,3.4,2.2,150,210,45,(\5),(\5),(\5)
1985 \3,397,36.4,3.32,2.23,135,187,25.9,3.44,1.23,2.24
1990 \3,404,38.8,3.39,2.25,134,194,22.6,4.93,2.39,2.25
1995 \3,399,40.2,3.39,2.28,130,190,22.4,3.72,2.89,3.22
2000 \3,413,43.2,3.58,2.38,139,195,19.7,4.5,(NA),5.77
2005 \3,410,44.2,3.83,2.14,128,201,18.2,4.02,(NA),8.78
